#,Image Filename Suffix,Mega Evolution,Regional Form,Name,Type 1,Type 2,Generation
1,,,,Bulbasaur,Grass,Poison,1
2,,,,Ivysaur,Grass,Poison,1
3,,TRUE,,Mega Venusaur,Grass,Poison,1
3,,,,Venusaur,Grass,Poison,1
4,,,,Charmander,Fire,,1
5,,,,Charmeleon,Fire,,1
6,X,TRUE,,Mega Charizard X,Fire,Dragon,1
6,Y,TRUE,,Mega Charizard Y,Fire,Flying,1
6,,,,Charizard,Fire,Flying,1
7,,,,Squirtle,Water,,1
8,,,,Wartortle,Water,,1
9,,TRUE,,Mega Blastoise,Water,,1
9,,,,Blastoise,Water,,1
10,,,,Caterpie,Bug,,1
11,,,,Metapod,Bug,,1
12,,,,Butterfree,Bug,Flying,1
13,,,,Weedle,Bug,Poison,1
14,,,,Kakuna,Bug,Poison,1
15,,TRUE,,Mega Beedrill,Bug,Poison,1
15,,,,Beedrill,Bug,Poison,1
16,,,,Pidgey,Normal,Flying,1
17,,,,Pidgeotto,Normal,Flying,1
18,,TRUE,,Mega Pidgeot,Normal,Flying,1
18,,,,Pidgeot,Normal,Flying,1
19,,,,Rattata,Normal,,1
19,,,TRUE,Rattata (Alolan Form),Dark,Normal,7
20,,,,Raticate,Normal,Normal,1
20,,,TRUE,Raticate (Alolan Form),Dark,Normal,7
21,,,,Spearow,Normal,Flying,1
22,,,,Fearow,Normal,Flying,1
23,,,,Ekans,Poison,,1
24,,,,Arbok,Poison,,1
25,,,,Pikachu,Electric,,1
26,,,,Raichu,Electric,,1
26,,,TRUE,Raichu (Alolan Form),Electric,Psychic,7
27,,,,Sandshrew,Ground,,1
27,,,TRUE,Sandshrew (Alolan Form),Ice,Steel,7
28,,,,Sandslash,Ground,,1
28,,,TRUE,Sandslash (Alolan Form),Ice,Steel,7
29,,,,Nidoran♀,Poison,,1
30,,,,Nidorina,Poison,,1
31,,,,Nidoqueen,Poison,Ground,1
32,,,,Nidoran♂,Poison,,1
33,,,,Nidorino,Poison,,1
34,,,,Nidoking,Poison,Ground,1
35,,,,Clefairy,Fairy,,1
36,,,,Clefable,Fairy,,1
37,,,,Vulpix,Fire,,1
37,,,TRUE,Vulpix (Alolan Form),Ice,,7
38,,,,Ninetales,Fire,,1
38,,,TRUE,Ninetales (Alolan Form),Ice,Psychic,7
39,,,,Jigglypuff,Normal,Fairy,1
40,,,,Wigglytuff,Normal,Fairy,1
41,,,,Zubat,Poison,Flying,1
42,,,,Golbat,Poison,Flying,1
43,,,,Oddish,Grass,Poison,1
44,,,,Gloom,Grass,Poison,1
45,,,,Vileplume,Grass,Poison,1
46,,,,Paras,Bug,Grass,1
47,,,,Parasect,Bug,Grass,1
48,,,,Venonat,Bug,Poison,1
49,,,,Venomoth,Bug,Poison,1
50,,,,Diglett,Ground,,1
50,,,TRUE,Diglett (Alolan Form),Ground,Steel,7
51,,,,Dugtrio,Ground,,1
51,,,TRUE,Dugtrio (Alolan Form),Ground,Steel,7
52,,,,Meowth,Normal,,1
52,,,TRUE,Meowth (Alolan Form),Dark,,7
53,,,,Persian,Normal,,1
53,,,TRUE,Persian (Alolan Form),Dark,,7
54,,,,Psyduck,Water,,1
55,,,,Golduck,Water,,1
56,,,,Mankey,Fighting,,1
57,,,,Primeape,Fighting,,1
58,,,,Growlithe,Fire,,1
59,,,,Arcanine,Fire,,1
60,,,,Poliwag,Water,,1
61,,,,Poliwhirl,Water,,1
62,,,,Poliwrath,Water,Fighting,1
63,,,,Abra,Psychic,,1
64,,,,Kadabra,Psychic,,1
65,,TRUE,,Mega Alakazam,Psychic,,1
65,,,,Alakazam,Psychic,,1
66,,,,Machop,Fighting,,1
67,,,,Machoke,Fighting,,1
68,,,,Machamp,Fighting,,1
